orderId;date;customerId;product;quantity;unitPrice;status;customerLevel
A1001;2026-08-28;C042;USB-C cable 2m;3;9.95;DELIVERED;REGULAR
A1002;2026-09-01;C042;Wireless mouse;1;24.50;DELIVERED;REGULAR
A1003;2026-09-02;C017;27" monitor;2;189.00;DELIVERED;GOLD
A1004;2026-09-03;C042;Laptop stand;1;39.99;CANCELLED;REGULAR
A1005;2026-09-05;C017;HDMI cable 1.5m;2;7.49;DELIVERED;GOLD
A1006;2026-09-08;C108;Mechanical keyboard;1;89.95;DELIVERED;REGULAR
A1007;2026-09-12;C042;Webcam HD;1;49.00;SHIPPED;REGULAR
A1008;2026-09-15;C231;Noise cancelling headset;1;129.00;CANCELLED;GOLD
A1009;2026-09-19;C108;Mouse pad XL;2;14.95;DELIVERED;REGULAR
A1010;2026-09-30;C017;Docking station;1;159.00;SHIPPED;GOLD
A1011;2026-10-01;C108;USB hub;1;19.99;PENDING;REGULAR
